[INFO] 2025-12-16 21:04:42,603 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:04:57,979 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:04:57,985 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:05:03,993 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:05:03,996 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:05:04,002 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:05:04,007 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:05:12,976 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:05:12,984 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:05:27,991 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:05:27,999 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:05:42,992 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:05:42,997 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:05:57,990 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:05:57,997 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:06:03,992 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:06:03,994 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:06:03,999 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:06:04,004 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:06:12,986 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:06:12,993 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:07:03,987 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:07:03,990 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:07:03,992 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:07:03,997 basehttp 19280 18324 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:07:04,000 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:07:04,005 basehttp 19280 18324 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:08:03,992 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:03,993 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:03,999 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:03,999 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:08:04,005 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:08:04,013 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:08:33,167 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:33,181 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 52907
[INFO] 2025-12-16 21:08:35,138 basehttp 19280 20544 - "GET /accounts/login/ HTTP/1.1" 200 52888
[INFO] 2025-12-16 21:08:35,233 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:35,247 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 52907
[INFO] 2025-12-16 21:08:50,220 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:50,229 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 52907
[INFO] 2025-12-16 21:08:54,287 basehttp 19280 20544 - "POST /accounts/login/ HTTP/1.1" 200 53139
[INFO] 2025-12-16 21:08:54,392 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:08:54,408 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 52907
[INFO] 2025-12-16 21:09:03,985 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:09:03,990 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:09:03,996 basehttp 19280 18324 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 52907
[INFO] 2025-12-16 21:09:04,002 basehttp 19280 20544 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 52907
[INFO] 2025-12-16 21:09:09,314 basehttp 19280 20544 - "POST /accounts/login/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:09:09,453 basehttp 19280 18324 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:09:09,486 basehttp 19280 20544 - "GET / HTTP/1.1" 200 55181
